ID,group,brsi_all,pre_mood,post_mood,diff_mood,pre_ci,pre_ci_all_1,pre_ci_all_2,pre_ci_all_3,pre_ci_all_4,post_ci_all,post_ci_all_1,post_ci_all_2,post_ci_all_3,post_ci_all_4,diff_ci
262,2,0,0.397222222222222,0.654545454545455,0.257323232323232,2.5,2,4,3,1,3.5,3,4,4,3,1
263,2,0,0.494097216924032,0.98,0.485902783075968,0.5,0,2,0,0,1.5,0,2,2,2,1
264,2,0,0.305208333333333,0.499090909090909,0.193882575757576,0.75,1,0,0,2,2,3,0,2,3,1.25
265,2,3,0.911111105642011,0.979090909090909,0.0679798034488979,2,1,2,3,2,3.25,2,4,4,3,1.25
266,1,3,0.497354497354497,0.745454545454545,0.248100048100048,2.25,3,0,2,4,4,4,4,4,4,1.75
267,2,0,0.753835425383543,0.73,-0.0238354253835426,1,1,0,1,2,1.75,2,1,1,3,0.75
268,1,2,0.6966813079551,0.43,-0.2666813079551,0.5,1,1,0,0,0,0,0,0,0,-0.5
269,2,3,0.941093216203026,0.974772727272727,0.0336795110697014,0.75,1,1,0,1,0,0,0,0,0,-0.75
270,2,0,0.900174512080913,1,0.0998254879190867,0,0,0,0,0,0,0,0,0,0,0
271,1,2,0.704489995119571,0.463636363636364,-0.240853631483207,2,3,2,1,2,1,1,2,1,0,-1
272,1,3,0.699305550257365,0.549090909090909,-0.150214641166456,1.25,2,0,2,1,1.75,2,2,0,3,0.5
273,2,0,0.902430550257365,0.823636363636364,-0.0787941866210013,0.25,1,0,0,0,0.25,1,0,0,0,0
274,1,1,0.6,0.618181818181818,0.0181818181818182,1.75,3,0,0,4,1.5,2,1,1,2,-0.25
275,1,2,0.707812494701809,0.244545454545455,-0.463267040156355,2.75,3,2,2,4,3,2,4,4,2,0.25
276,1,2,0.812847216924032,0.691818181818182,-0.12102903510585,3,3,3,3,3,2.75,3,2,3,3,-0.25
277,2,0,0.994295237753629,0.991818181818182,-0.00247705593544678,0,0,0,0,0,0,0,0,0,0,0
278,1,0,0.809076632036871,0.657329324255145,-0.151747307781726,0.25,1,0,0,0,2,2,2,0,4,1.75
279,1,1,0.630307467057101,0.590227272727273,-0.0400801943298283,0.5,1,1,0,0,0.5,0,1,0,1,0
280,1,2,0.386278907724675,0.458181818181818,0.0719029104571433,2.25,3,3,3,0,1.75,2,0,3,2,-0.5
281,1,2,0.606597471237183,0.686363636363636,0.0797661651264537,1.75,1,2,2,2,2,2,2,3,1,0.25
282,1,1,0.605474264309333,0.523263333093629,-0.0822109312157038,0.25,1,0,0,0,0,0,0,0,0,-0.25
